time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2025-03-18T17:05:54+01:00,0.024656,19.152344
2025-03-18T17:05:55+01:00,1.898787,22.000000
2025-03-18T17:05:56+01:00,2.046910,22.054688
2025-03-18T17:05:57+01:00,2.281900,21.820312
2025-03-18T17:05:58+01:00,2.687281,21.828125
2025-03-18T17:05:59+01:00,2.339613,22.574219
2025-03-18T17:06:00+01:00,2.456674,22.691406
2025-03-18T17:06:01+01:00,1.757778,22.496094
2025-03-18T17:06:02+01:00,2.671767,22.578125
2025-03-18T17:06:03+01:00,2.344105,25.792969
2025-03-18T17:06:04+01:00,2.775282,25.304688
2025-03-18T17:06:05+01:00,2.726839,26.078125
2025-03-18T17:06:06+01:00,2.290773,25.625000
2025-03-18T17:06:07+01:00,2.994456,25.644531
2025-03-18T17:06:08+01:00,1.943312,26.031250
2025-03-18T17:06:09+01:00,2.691977,25.792969
2025-03-18T17:06:10+01:00,2.797500,26.304688
2025-03-18T17:06:11+01:00,3.053963,26.355469
2025-03-18T17:06:12+01:00,2.670583,25.750000
2025-03-18T17:06:13+01:00,2.809221,25.832031
2025-03-18T17:06:14+01:00,2.935400,26.101562
2025-03-18T17:06:15+01:00,2.801300,27.867188
2025-03-18T17:06:16+01:00,1.782527,27.890625
2025-03-18T17:06:17+01:00,2.315730,27.894531
2025-03-18T17:06:18+01:00,3.031000,27.957031
2025-03-18T17:06:19+01:00,2.690609,28.253906
2025-03-18T17:06:20+01:00,2.398222,28.257812
2025-03-18T17:06:21+01:00,2.252143,28.515625
2025-03-18T17:06:22+01:00,2.381606,28.011719
2025-03-18T17:06:23+01:00,2.317822,28.015625
2025-03-18T17:06:24+01:00,2.895784,28.519531
2025-03-18T17:06:25+01:00,2.762753,28.269531
2025-03-18T17:06:26+01:00,2.099900,28.015625
2025-03-18T17:06:28+01:00,2.588054,30.031250
2025-03-18T17:06:29+01:00,2.319843,30.039062
2025-03-18T17:06:30+01:00,2.368884,30.535156
2025-03-18T17:06:31+01:00,2.353219,30.546875
2025-03-18T17:06:32+01:00,2.063648,30.566406
2025-03-18T17:06:33+01:00,2.865072,32.082031
2025-03-18T17:06:34+01:00,2.151453,32.082031
2025-03-18T17:06:35+01:00,1.883274,32.093750
2025-03-18T17:06:36+01:00,2.291300,32.347656
2025-03-18T17:06:37+01:00,2.968060,32.363281
2025-03-18T17:06:38+01:00,2.099301,32.367188
2025-03-18T17:06:39+01:00,2.830043,32.136719
2025-03-18T17:06:40+01:00,2.475500,32.382812
2025-03-18T17:06:41+01:00,3.715622,32.136719
2025-03-18T17:06:42+01:00,2.811692,32.144531
2025-03-18T17:06:43+01:00,2.286065,32.144531
2025-03-18T17:06:44+01:00,2.397037,32.402344
2025-03-18T17:06:45+01:00,3.143409,32.898438
2025-03-18T17:06:46+01:00,3.077495,32.175781
2025-03-18T17:06:47+01:00,1.869864,32.164062
2025-03-18T17:06:48+01:00,2.542564,34.421875
2025-03-18T17:06:49+01:00,2.699929,34.179688
2025-03-18T17:06:50+01:00,2.519599,34.187500
2025-03-18T17:06:51+01:00,2.091533,34.203125
2025-03-18T17:06:52+01:00,1.905583,34.449219
2025-03-18T17:06:53+01:00,2.079095,34.203125
2025-03-18T17:06:54+01:00,1.851500,34.210938
2025-03-18T17:06:55+01:00,2.158317,34.472656
2025-03-18T17:06:56+01:00,2.722367,34.500000
2025-03-18T17:06:57+01:00,1.972518,36.511719
2025-03-18T17:06:58+01:00,2.369116,36.761719
2025-03-18T17:06:59+01:00,2.567134,36.523438
2025-03-18T17:07:00+01:00,3.051176,36.511719
2025-03-18T17:07:01+01:00,2.204599,36.761719
2025-03-18T17:07:02+01:00,2.300660,36.761719
2025-03-18T17:07:03+01:00,1.844659,36.519531
2025-03-18T17:07:04+01:00,2.415751,36.769531
2025-03-18T17:07:05+01:00,2.672981,37.265625
2025-03-18T17:07:06+01:00,2.795876,36.757812
2025-03-18T17:07:07+01:00,1.845118,38.519531
2025-03-18T17:07:08+01:00,2.056900,38.535156
2025-03-18T17:07:09+01:00,2.286266,38.285156
2025-03-18T17:07:10+01:00,2.604481,38.285156
2025-03-18T17:07:11+01:00,2.636281,38.289062
2025-03-18T17:07:12+01:00,2.361373,38.292969
2025-03-18T17:07:13+01:00,2.248756,38.300781
2025-03-18T17:07:14+01:00,2.233300,38.554688
2025-03-18T17:07:15+01:00,2.462782,38.308594
2025-03-18T17:07:16+01:00,2.558693,38.558594
2025-03-18T17:07:17+01:00,1.803653,40.312500
2025-03-18T17:07:18+01:00,2.008975,40.566406
2025-03-18T17:07:19+01:00,3.102999,40.578125
2025-03-18T17:07:20+01:00,2.271568,40.582031
2025-03-18T17:07:21+01:00,2.543333,40.824219
2025-03-18T17:07:22+01:00,2.225559,40.328125
2025-03-18T17:07:23+01:00,1.855428,40.347656
2025-03-18T17:07:24+01:00,2.359219,40.351562
2025-03-18T17:07:25+01:00,2.129893,40.355469
2025-03-18T17:07:26+01:00,2.112509,40.601562
2025-03-18T17:07:27+01:00,2.190612,40.605469
2025-03-18T17:07:28+01:00,2.212179,40.378906
2025-03-18T17:07:29+01:00,2.600542,40.386719
2025-03-18T17:07:30+01:00,1.977149,40.394531
2025-03-18T17:07:31+01:00,2.876218,40.394531
2025-03-18T17:07:32+01:00,1.361791,40.390625
2025-03-18T17:07:33+01:00,1.401710,40.390625
2025-03-18T17:07:34+01:00,1.609552,42.640625
2025-03-18T17:07:35+01:00,2.283887,42.402344
2025-03-18T17:07:36+01:00,2.968561,42.910156
2025-03-18T17:07:37+01:00,2.991373,42.425781
2025-03-18T17:07:38+01:00,2.602623,42.917969
2025-03-18T17:07:39+01:00,2.502113,44.679688
2025-03-18T17:07:40+01:00,2.616607,44.433594
2025-03-18T17:07:41+01:00,2.440372,44.441406
2025-03-18T17:07:42+01:00,3.243566,44.691406
2025-03-18T17:07:43+01:00,2.212482,44.445312
2025-03-18T17:07:44+01:00,2.351980,44.449219
2025-03-18T17:07:45+01:00,2.168951,44.449219
2025-03-18T17:07:46+01:00,2.392300,44.453125
2025-03-18T17:07:47+01:00,1.807154,44.453125
2025-03-18T17:07:48+01:00,2.860673,44.742188
2025-03-18T17:07:49+01:00,2.185300,44.726562
2025-03-18T17:07:50+01:00,2.246437,44.480469
2025-03-18T17:07:51+01:00,1.949886,44.726562
2025-03-18T17:07:52+01:00,2.416300,44.734375
2025-03-18T17:07:53+01:00,1.984694,44.558594
2025-03-18T17:07:54+01:00,2.628277,45.125000
