time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2025-03-18T17:22:33+01:00,0.018322,109.878906
2025-03-18T17:22:34+01:00,37.749560,175.261719
2025-03-18T17:22:35+01:00,120.606974,211.296875
2025-03-18T17:22:36+01:00,127.010786,233.457031
2025-03-18T17:22:37+01:00,128.531431,235.644531
2025-03-18T17:22:38+01:00,129.553761,232.566406
2025-03-18T17:22:39+01:00,128.643963,227.113281
2025-03-18T17:22:40+01:00,127.480947,232.703125
2025-03-18T17:22:41+01:00,128.451004,217.777344
2025-03-18T17:22:42+01:00,121.235562,221.289062
2025-03-18T17:22:43+01:00,128.030100,222.734375
2025-03-18T17:22:44+01:00,130.557857,217.218750
2025-03-18T17:22:45+01:00,125.018394,214.449219
2025-03-18T17:22:46+01:00,130.949132,213.675781
2025-03-18T17:22:47+01:00,3.819284,213.875000
2025-03-18T17:22:48+01:00,1.687627,213.816406
2025-03-18T17:22:49+01:00,1.752652,214.066406
2025-03-18T17:22:50+01:00,1.868473,214.453125
2025-03-18T17:22:51+01:00,1.819599,215.089844
2025-03-18T17:22:52+01:00,1.441407,215.093750
2025-03-18T17:22:53+01:00,1.533020,215.089844
2025-03-18T17:22:54+01:00,1.329246,215.718750
2025-03-18T17:22:55+01:00,1.918300,215.968750
2025-03-18T17:22:56+01:00,1.423266,215.722656
2025-03-18T17:22:57+01:00,1.533782,215.722656
2025-03-18T17:22:58+01:00,1.348680,215.726562
2025-03-18T17:22:59+01:00,1.708261,215.972656
2025-03-18T17:23:00+01:00,2.251541,215.722656
2025-03-18T17:23:01+01:00,1.342714,215.726562
2025-03-18T17:23:02+01:00,1.530587,215.734375
2025-03-18T17:23:03+01:00,1.750800,215.726562
2025-03-18T17:23:04+01:00,2.221246,215.730469
2025-03-18T17:23:05+01:00,1.662550,215.726562
2025-03-18T17:23:06+01:00,1.619497,215.730469
2025-03-18T17:23:07+01:00,1.918470,215.730469
2025-03-18T17:23:08+01:00,1.535785,215.726562
2025-03-18T17:23:09+01:00,1.642847,215.972656
2025-03-18T17:23:10+01:00,1.635108,215.726562
2025-03-18T17:23:11+01:00,2.244713,215.730469
2025-03-18T17:23:12+01:00,2.315524,215.718750
2025-03-18T17:23:13+01:00,1.804389,215.718750
2025-03-18T17:23:14+01:00,1.807209,215.718750
2025-03-18T17:23:15+01:00,1.962600,215.718750
2025-03-18T17:23:16+01:00,1.718638,215.722656
2025-03-18T17:23:17+01:00,2.114932,215.722656
2025-03-18T17:23:18+01:00,1.700800,215.722656
2025-03-18T17:23:19+01:00,1.951113,215.718750
2025-03-18T17:23:20+01:00,1.744731,215.726562
2025-03-18T17:23:21+01:00,1.595057,215.722656
2025-03-18T17:23:22+01:00,1.662036,215.718750
2025-03-18T17:23:23+01:00,1.953428,215.968750
2025-03-18T17:23:24+01:00,1.805379,215.722656
2025-03-18T17:23:25+01:00,1.857808,215.722656
2025-03-18T17:23:26+01:00,1.610551,215.726562
2025-03-18T17:23:27+01:00,1.924200,215.726562
2025-03-18T17:23:28+01:00,1.568921,215.726562
2025-03-18T17:23:29+01:00,1.836760,215.726562
2025-03-18T17:23:30+01:00,1.691248,215.726562
2025-03-18T17:23:31+01:00,1.691457,215.726562
2025-03-18T17:23:32+01:00,1.759427,215.726562
2025-03-18T17:23:33+01:00,1.546920,215.726562
2025-03-18T17:23:34+01:00,1.769018,215.726562
2025-03-18T17:23:35+01:00,1.726934,215.972656
2025-03-18T17:23:36+01:00,1.861638,215.730469
2025-03-18T17:23:37+01:00,1.775072,215.726562
2025-03-18T17:23:38+01:00,1.666170,215.726562
2025-03-18T17:23:39+01:00,1.613970,215.980469
2025-03-18T17:23:40+01:00,1.800558,216.363281
2025-03-18T17:23:41+01:00,1.478693,216.363281
2025-03-18T17:23:42+01:00,1.732626,216.613281
2025-03-18T17:23:43+01:00,1.462935,216.363281
2025-03-18T17:23:44+01:00,1.712092,216.363281
2025-03-18T17:23:45+01:00,1.492464,216.609375
2025-03-18T17:23:46+01:00,1.752752,216.363281
2025-03-18T17:23:47+01:00,1.570186,216.363281
2025-03-18T17:23:48+01:00,1.708921,216.363281
2025-03-18T17:23:49+01:00,1.544890,216.363281
2025-03-18T17:23:50+01:00,1.653944,216.363281
2025-03-18T17:23:51+01:00,1.418065,216.363281
2025-03-18T17:23:52+01:00,1.704034,216.363281
2025-03-18T17:23:53+01:00,1.550430,216.363281
2025-03-18T17:23:54+01:00,1.753109,216.363281
2025-03-18T17:23:55+01:00,1.662712,216.363281
2025-03-18T17:23:56+01:00,1.776676,216.363281
2025-03-18T17:23:57+01:00,1.676490,216.613281
2025-03-18T17:23:58+01:00,1.754100,216.367188
2025-03-18T17:23:59+01:00,1.546523,216.363281
2025-03-18T17:24:00+01:00,1.599427,216.363281
2025-03-18T17:24:01+01:00,1.707538,216.363281
2025-03-18T17:24:02+01:00,1.638941,216.613281
2025-03-18T17:24:03+01:00,1.908746,216.363281
2025-03-18T17:24:04+01:00,1.778481,216.363281
2025-03-18T17:24:05+01:00,2.002600,216.363281
2025-03-18T17:24:06+01:00,1.482294,216.363281
2025-03-18T17:24:07+01:00,1.978065,216.363281
2025-03-18T17:24:08+01:00,1.705455,216.363281
2025-03-18T17:24:09+01:00,1.547236,216.367188
2025-03-18T17:24:10+01:00,1.797151,216.617188
2025-03-18T17:24:11+01:00,1.673691,216.367188
2025-03-18T17:24:12+01:00,1.434149,216.367188
2025-03-18T17:24:13+01:00,1.451726,216.367188
2025-03-18T17:24:14+01:00,1.254496,216.367188
2025-03-18T17:24:15+01:00,6.766333,201.757812
2025-03-18T17:24:16+01:00,1.921691,201.757812
2025-03-18T17:24:17+01:00,2.063797,202.390625
2025-03-18T17:24:18+01:00,1.730344,202.390625
2025-03-18T17:24:19+01:00,1.754000,202.390625
2025-03-18T17:24:20+01:00,1.840329,202.390625
2025-03-18T17:24:21+01:00,1.867974,203.023438
2025-03-18T17:24:22+01:00,1.477911,203.023438
2025-03-18T17:24:23+01:00,1.798685,203.023438
2025-03-18T17:24:24+01:00,1.647153,203.906250
2025-03-18T17:24:25+01:00,1.452450,203.656250
2025-03-18T17:24:26+01:00,1.746610,203.656250
2025-03-18T17:24:27+01:00,1.987256,203.656250
2025-03-18T17:24:28+01:00,1.565737,203.656250
2025-03-18T17:24:29+01:00,1.735279,203.656250
2025-03-18T17:24:30+01:00,1.503951,203.656250
2025-03-18T17:24:31+01:00,1.566457,203.656250
2025-03-18T17:24:32+01:00,1.170964,203.664062
