time,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka]
2025-03-18T17:24:11+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:12+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:13+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:14+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:15+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:16+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:17+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:18+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:19+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:20+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:21+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:22+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:23+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:24+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:25+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:26+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:27+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:28+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:29+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:30+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:31+01:00,0.000000,0.000000,0.000000
2025-03-18T17:24:32+01:00,0.000000,0.000000,0.000000
