time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2025-03-18T17:17:39+01:00,1.240859,39.199219
2025-03-18T17:17:40+01:00,1.266619,39.742188
2025-03-18T17:17:41+01:00,1.563968,39.765625
2025-03-18T17:17:42+01:00,1.493801,39.914062
2025-03-18T17:17:43+01:00,1.362915,39.785156
2025-03-18T17:17:44+01:00,1.611302,40.441406
2025-03-18T17:17:45+01:00,1.547136,40.363281
2025-03-18T17:17:46+01:00,1.282132,40.300781
2025-03-18T17:17:47+01:00,1.329149,40.433594
2025-03-18T17:17:48+01:00,1.544011,40.589844
2025-03-18T17:17:49+01:00,1.729447,40.757812
2025-03-18T17:17:50+01:00,1.413729,41.125000
2025-03-18T17:17:51+01:00,1.398093,41.003906
2025-03-18T17:17:52+01:00,1.576979,43.152344
2025-03-18T17:17:53+01:00,1.354200,43.183594
2025-03-18T17:17:54+01:00,1.332097,43.187500
2025-03-18T17:17:55+01:00,1.884229,43.203125
2025-03-18T17:17:56+01:00,1.809440,43.468750
