time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2025-03-18T17:08:19+01:00,0.014519,18.980469
2025-03-18T17:08:20+01:00,1.964810,18.824219
2025-03-18T17:08:21+01:00,2.246905,19.347656
2025-03-18T17:08:22+01:00,2.698984,21.347656
2025-03-18T17:08:23+01:00,2.595361,20.894531
2025-03-18T17:08:24+01:00,2.779371,21.148438
2025-03-18T17:08:25+01:00,2.297405,21.140625
2025-03-18T17:08:26+01:00,2.517980,20.886719
2025-03-18T17:08:27+01:00,1.865455,20.890625
2025-03-18T17:08:28+01:00,2.331130,21.390625
2025-03-18T17:08:29+01:00,2.071900,21.156250
2025-03-18T17:08:30+01:00,2.183078,25.433594
2025-03-18T17:08:31+01:00,2.458982,25.949219
2025-03-18T17:08:32+01:00,3.821088,25.214844
2025-03-18T17:08:33+01:00,2.657406,25.222656
2025-03-18T17:08:34+01:00,2.679785,24.980469
2025-03-18T17:08:35+01:00,2.871302,25.500000
2025-03-18T17:08:36+01:00,2.765675,24.996094
2025-03-18T17:08:37+01:00,2.602672,25.003906
2025-03-18T17:08:38+01:00,2.399800,25.507812
2025-03-18T17:08:39+01:00,3.443381,25.035156
2025-03-18T17:08:40+01:00,3.473763,25.285156
2025-03-18T17:08:41+01:00,3.446200,27.332031
2025-03-18T17:08:42+01:00,3.760057,27.570312
2025-03-18T17:08:43+01:00,2.915447,27.078125
2025-03-18T17:08:44+01:00,2.479843,27.082031
2025-03-18T17:08:45+01:00,2.784645,27.085938
2025-03-18T17:08:46+01:00,2.957000,29.613281
2025-03-18T17:08:47+01:00,2.682513,29.097656
2025-03-18T17:08:48+01:00,2.016300,29.101562
2025-03-18T17:08:49+01:00,3.225270,29.371094
2025-03-18T17:08:50+01:00,2.913362,29.363281
2025-03-18T17:08:51+01:00,2.282630,29.121094
2025-03-18T17:08:52+01:00,2.711227,29.613281
2025-03-18T17:08:53+01:00,3.086109,29.382812
2025-03-18T17:08:54+01:00,2.580271,29.386719
2025-03-18T17:08:55+01:00,2.200772,29.378906
2025-03-18T17:08:56+01:00,1.998967,29.390625
2025-03-18T17:08:57+01:00,2.266489,29.144531
2025-03-18T17:08:58+01:00,2.734640,29.398438
2025-03-18T17:08:59+01:00,2.396940,29.652344
2025-03-18T17:09:00+01:00,3.067291,29.402344
2025-03-18T17:09:01+01:00,2.517391,29.160156
2025-03-18T17:09:02+01:00,2.633500,31.167969
2025-03-18T17:09:03+01:00,3.045776,31.414062
2025-03-18T17:09:04+01:00,2.105512,31.417969
2025-03-18T17:09:05+01:00,2.052637,31.425781
2025-03-18T17:09:06+01:00,2.208900,31.425781
2025-03-18T17:09:07+01:00,1.972691,31.183594
2025-03-18T17:09:08+01:00,2.302011,31.433594
2025-03-18T17:09:09+01:00,3.129377,31.683594
2025-03-18T17:09:10+01:00,2.291127,31.441406
2025-03-18T17:09:11+01:00,1.932800,31.199219
2025-03-18T17:09:12+01:00,1.591563,33.210938
2025-03-18T17:09:13+01:00,2.300713,33.460938
2025-03-18T17:09:14+01:00,2.078122,33.218750
2025-03-18T17:09:15+01:00,2.446843,33.222656
2025-03-18T17:09:16+01:00,1.499986,33.222656
2025-03-18T17:09:17+01:00,2.930653,33.257812
2025-03-18T17:09:18+01:00,1.880328,33.511719
2025-03-18T17:09:19+01:00,2.656000,33.507812
2025-03-18T17:09:20+01:00,2.276155,33.511719
2025-03-18T17:09:21+01:00,2.714116,35.765625
2025-03-18T17:09:22+01:00,2.482720,35.519531
2025-03-18T17:09:23+01:00,2.995759,35.785156
2025-03-18T17:09:24+01:00,1.829779,35.535156
2025-03-18T17:09:26+01:00,3.178693,35.300781
2025-03-18T17:09:27+01:00,1.414232,35.289062
2025-03-18T17:09:28+01:00,2.682307,35.300781
2025-03-18T17:09:29+01:00,2.294000,35.542969
2025-03-18T17:09:30+01:00,2.581325,35.796875
2025-03-18T17:09:31+01:00,2.431373,35.558594
2025-03-18T17:09:32+01:00,2.127559,35.308594
2025-03-18T17:09:33+01:00,2.080700,35.562500
2025-03-18T17:09:34+01:00,2.524006,37.324219
2025-03-18T17:09:35+01:00,2.169500,37.574219
2025-03-18T17:09:36+01:00,2.218216,37.570312
2025-03-18T17:09:37+01:00,2.106096,37.335938
2025-03-18T17:09:38+01:00,2.206686,37.343750
2025-03-18T17:09:39+01:00,2.179130,37.343750
2025-03-18T17:09:40+01:00,2.338308,37.363281
2025-03-18T17:09:41+01:00,2.528288,37.363281
2025-03-18T17:09:42+01:00,2.137434,37.371094
2025-03-18T17:09:43+01:00,2.402568,37.367188
2025-03-18T17:09:44+01:00,3.176375,37.367188
2025-03-18T17:09:45+01:00,2.974850,37.367188
2025-03-18T17:09:46+01:00,2.467073,37.867188
2025-03-18T17:09:47+01:00,2.287971,39.871094
2025-03-18T17:09:48+01:00,2.241907,39.382812
2025-03-18T17:09:49+01:00,2.746200,40.140625
2025-03-18T17:09:50+01:00,2.642636,39.417969
2025-03-18T17:09:51+01:00,2.933874,39.902344
2025-03-18T17:09:52+01:00,2.735446,39.425781
2025-03-18T17:09:53+01:00,2.757570,39.945312
2025-03-18T17:09:54+01:00,2.492861,39.453125
2025-03-18T17:09:55+01:00,2.413153,41.699219
2025-03-18T17:09:56+01:00,2.652289,41.441406
2025-03-18T17:09:57+01:00,2.116948,41.687500
2025-03-18T17:09:58+01:00,2.144491,41.449219
2025-03-18T17:09:59+01:00,2.184821,41.710938
2025-03-18T17:10:00+01:00,2.651412,41.707031
2025-03-18T17:10:01+01:00,3.367427,41.953125
2025-03-18T17:10:02+01:00,2.137838,41.464844
2025-03-18T17:10:03+01:00,2.763748,41.714844
2025-03-18T17:10:04+01:00,2.691289,41.722656
2025-03-18T17:10:05+01:00,2.955957,43.480469
2025-03-18T17:10:06+01:00,2.354800,43.730469
2025-03-18T17:10:07+01:00,2.995760,43.980469
2025-03-18T17:10:08+01:00,2.375266,43.484375
2025-03-18T17:10:09+01:00,3.118227,43.496094
2025-03-18T17:10:10+01:00,2.793290,43.492188
2025-03-18T17:10:11+01:00,2.427200,43.742188
2025-03-18T17:10:12+01:00,1.845500,43.738281
2025-03-18T17:10:13+01:00,2.768500,43.507812
2025-03-18T17:10:14+01:00,2.620100,43.750000
2025-03-18T17:10:15+01:00,2.278027,43.511719
2025-03-18T17:10:16+01:00,1.541704,43.515625
2025-03-18T17:10:17+01:00,2.436000,45.527344
2025-03-18T17:10:18+01:00,3.306858,45.523438
2025-03-18T17:10:19+01:00,2.399600,45.640625
