time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2025-03-18T17:18:17+01:00,0.005261,18.988281
2025-03-18T17:18:18+01:00,0.915867,21.792969
2025-03-18T17:18:19+01:00,1.172838,21.871094
2025-03-18T17:18:20+01:00,1.788223,22.300781
2025-03-18T17:18:21+01:00,1.512606,22.222656
2025-03-18T17:18:22+01:00,1.841925,23.242188
2025-03-18T17:18:23+01:00,1.748547,22.578125
2025-03-18T17:18:24+01:00,1.566973,22.843750
2025-03-18T17:18:25+01:00,1.353098,22.707031
2025-03-18T17:18:26+01:00,1.462690,22.753906
2025-03-18T17:18:27+01:00,1.564383,22.769531
2025-03-18T17:18:28+01:00,1.996496,24.781250
2025-03-18T17:18:29+01:00,1.584832,24.789062
2025-03-18T17:18:30+01:00,2.095193,26.820312
2025-03-18T17:18:31+01:00,1.576074,26.820312
2025-03-18T17:18:32+01:00,1.776869,27.066406
2025-03-18T17:18:33+01:00,1.767763,27.070312
2025-03-18T17:18:34+01:00,1.723593,28.582031
2025-03-18T17:18:35+01:00,1.532647,28.359375
2025-03-18T17:18:36+01:00,1.517500,28.613281
2025-03-18T17:18:37+01:00,2.261309,28.367188
2025-03-18T17:18:38+01:00,1.779756,28.867188
2025-03-18T17:18:39+01:00,1.503047,30.402344
2025-03-18T17:18:40+01:00,1.620670,30.714844
2025-03-18T17:18:41+01:00,1.375648,30.414062
2025-03-18T17:18:42+01:00,1.556724,30.667969
2025-03-18T17:18:43+01:00,1.613390,30.929688
2025-03-18T17:18:44+01:00,1.447202,30.445312
2025-03-18T17:18:45+01:00,1.355244,30.453125
2025-03-18T17:18:46+01:00,1.767301,30.582031
2025-03-18T17:18:47+01:00,1.467463,30.585938
2025-03-18T17:18:48+01:00,1.513000,30.589844
2025-03-18T17:18:50+01:00,1.643470,30.835938
2025-03-18T17:18:51+01:00,1.540401,32.601562
2025-03-18T17:18:52+01:00,1.724332,32.605469
2025-03-18T17:18:53+01:00,1.437646,32.859375
2025-03-18T17:18:54+01:00,2.185977,32.863281
2025-03-18T17:18:55+01:00,1.597286,32.632812
2025-03-18T17:18:56+01:00,1.729820,32.632812
2025-03-18T17:18:57+01:00,1.565782,32.640625
2025-03-18T17:18:58+01:00,1.222081,32.644531
2025-03-18T17:18:59+01:00,1.477466,32.648438
2025-03-18T17:19:00+01:00,1.906362,32.648438
2025-03-18T17:19:01+01:00,1.899771,32.648438
2025-03-18T17:19:02+01:00,1.882166,32.652344
2025-03-18T17:19:03+01:00,1.461419,32.656250
2025-03-18T17:19:04+01:00,1.703250,32.718750
2025-03-18T17:19:05+01:00,1.391682,32.742188
2025-03-18T17:19:06+01:00,1.456624,32.820312
2025-03-18T17:19:07+01:00,1.550638,32.839844
2025-03-18T17:19:08+01:00,1.722539,32.957031
2025-03-18T17:19:09+01:00,1.932900,33.195312
2025-03-18T17:19:10+01:00,1.660014,33.839844
2025-03-18T17:19:11+01:00,1.457518,33.468750
2025-03-18T17:19:12+01:00,1.596602,33.621094
2025-03-18T17:19:13+01:00,1.714472,33.722656
2025-03-18T17:19:14+01:00,2.002892,36.035156
2025-03-18T17:19:15+01:00,1.639527,35.792969
2025-03-18T17:19:16+01:00,1.421106,35.953125
2025-03-18T17:19:17+01:00,1.542919,36.085938
2025-03-18T17:19:18+01:00,1.971076,36.117188
2025-03-18T17:19:19+01:00,2.089045,36.175781
2025-03-18T17:19:20+01:00,1.922613,36.179688
2025-03-18T17:19:21+01:00,1.760430,36.207031
2025-03-18T17:19:22+01:00,1.809339,38.210938
2025-03-18T17:19:23+01:00,1.916037,38.214844
2025-03-18T17:19:24+01:00,1.604807,38.226562
2025-03-18T17:19:25+01:00,1.736080,38.238281
2025-03-18T17:19:26+01:00,1.677590,38.234375
2025-03-18T17:19:27+01:00,1.481692,38.234375
2025-03-18T17:19:28+01:00,1.831140,38.488281
2025-03-18T17:19:29+01:00,1.385920,38.386719
2025-03-18T17:19:30+01:00,1.649835,38.410156
2025-03-18T17:19:31+01:00,2.047951,38.410156
2025-03-18T17:19:32+01:00,1.919914,38.679688
2025-03-18T17:19:33+01:00,1.443462,38.441406
2025-03-18T17:19:34+01:00,1.696524,38.703125
2025-03-18T17:19:35+01:00,1.519928,40.472656
2025-03-18T17:19:36+01:00,1.380589,40.476562
2025-03-18T17:19:37+01:00,1.808711,40.476562
2025-03-18T17:19:38+01:00,1.325307,40.730469
2025-03-18T17:19:39+01:00,1.641345,40.750000
2025-03-18T17:19:40+01:00,1.530573,40.496094
2025-03-18T17:19:41+01:00,1.311911,40.496094
2025-03-18T17:19:42+01:00,1.487274,40.511719
2025-03-18T17:19:43+01:00,1.610000,40.511719
2025-03-18T17:19:44+01:00,1.594756,40.511719
2025-03-18T17:19:45+01:00,1.478156,40.769531
2025-03-18T17:19:46+01:00,1.091559,40.527344
2025-03-18T17:19:47+01:00,1.880774,42.656250
2025-03-18T17:19:48+01:00,1.571723,42.679688
2025-03-18T17:19:49+01:00,1.714875,42.703125
2025-03-18T17:19:50+01:00,1.723580,42.707031
2025-03-18T17:19:51+01:00,1.781545,42.714844
2025-03-18T17:19:52+01:00,1.613705,42.714844
2025-03-18T17:19:53+01:00,1.802751,42.722656
2025-03-18T17:19:54+01:00,1.447369,42.730469
2025-03-18T17:19:55+01:00,1.757477,42.738281
2025-03-18T17:19:56+01:00,1.535072,42.738281
2025-03-18T17:19:57+01:00,1.818598,42.750000
2025-03-18T17:19:58+01:00,1.667346,44.765625
2025-03-18T17:19:59+01:00,1.692891,44.765625
2025-03-18T17:20:00+01:00,1.461966,44.765625
2025-03-18T17:20:01+01:00,1.749301,45.031250
2025-03-18T17:20:02+01:00,1.830036,44.789062
2025-03-18T17:20:03+01:00,1.663677,44.792969
2025-03-18T17:20:04+01:00,1.884183,44.816406
2025-03-18T17:20:05+01:00,1.457245,44.816406
2025-03-18T17:20:06+01:00,1.669971,44.820312
2025-03-18T17:20:07+01:00,1.980358,44.824219
2025-03-18T17:20:08+01:00,1.610300,44.820312
2025-03-18T17:20:09+01:00,1.729978,44.824219
2025-03-18T17:20:10+01:00,1.701461,44.824219
2025-03-18T17:20:11+01:00,1.918422,44.824219
2025-03-18T17:20:12+01:00,1.832773,46.832031
2025-03-18T17:20:13+01:00,1.910594,46.851562
2025-03-18T17:20:14+01:00,1.748802,46.855469
2025-03-18T17:20:15+01:00,1.983250,46.851562
2025-03-18T17:20:16+01:00,1.595075,46.855469
2025-03-18T17:20:17+01:00,1.692809,46.921875
